,product_id,category_id,category_code,brand,price,user_id,score,user_productid,product_name,count
0,44600062,2103807459595387724,nan,shiseido,35.79,541312140,1,541312140-44600062, shiseido,4
1,3900821,2053013552326770905,appliances.environment.water_heater,aqua,33.2,554748717,1,554748717-3900821,appliances.environment.water_heater aqua,118
2,17200506,2053013559792632471,furniture.living_room.sofa,nan,543.1,519107250,1,519107250-17200506,furniture.living_room.sofa ,52
3,1307067,2053013558920217191,computers.notebook,lenovo,251.74,550050854,1,550050854-1307067,computers.notebook lenovo,699
4,1004237,2053013555631882655,electronics.smartphone,apple,1081.98,535871217,1,535871217-1004237,electronics.smartphone apple,1570
5,1480613,2053013561092866779,computers.desktop,pulser,908.62,512742880,1,512742880-1480613,computers.desktop pulser,2
6,17300353,2053013553853497655,nan,creed,380.96,555447699,1,555447699-17300353, creed,52
7,31500053,2053013558031024687,nan,luminarc,41.16,550978835,1,550978835-31500053, luminarc,147
8,28719074,2053013565480109009,apparel.shoes.keds,baden,102.71,520571932,1,520571932-28719074,apparel.shoes.keds baden,8
9,1004545,2053013555631882655,electronics.smartphone,huawei,566.01,537918940,1,537918940-1004545,electronics.smartphone huawei,100
10,2900536,2053013554776244595,appliances.kitchen.microwave,elenberg,51.46,555158050,1,555158050-2900536,appliances.kitchen.microwave elenberg,440
11,1005011,2053013555631882655,electronics.smartphone,samsung,900.64,530282093,1,530282093-1005011,electronics.smartphone samsung,58
12,3900746,2053013552326770905,appliances.environment.water_heater,haier,102.38,555444559,1,555444559-3900746,appliances.environment.water_heater haier,49
13,13500240,2053013557099889147,furniture.bedroom.bed,brw,93.18,555446365,1,555446365-13500240,furniture.bedroom.bed brw,1
14,23100006,2053013561638126333,nan,nan,357.79,513642368,1,513642368-23100006, ,66
15,1801995,2053013554415534427,electronics.video.tv,haier,193.03,537192226,1,537192226-1801995,electronics.video.tv haier,175
16,10900029,2053013555069845885,appliances.kitchen.mixer,bosch,58.95,519528062,1,519528062-10900029,appliances.kitchen.mixer bosch,57
17,1306631,2053013558920217191,computers.notebook,hp,580.89,550050854,1,550050854-1306631,computers.notebook hp,64
18,4803399,2053013554658804075,electronics.audio.headphone,jbl,33.21,555428858,1,555428858-4803399,electronics.audio.headphone jbl,342
19,1004739,2053013555631882655,electronics.smartphone,xiaomi,197.55,519530528,1,519530528-1004739,electronics.smartphone xiaomi,4286
20,6200260,2053013552293216471,appliances.environment.air_heater,midea,47.62,538645907,1,538645907-6200260,appliances.environment.air_heater midea,213
21,3900990,2053013552326770905,appliances.environment.water_heater,ariston,122.18,554748717,1,554748717-3900990,appliances.environment.water_heater ariston,59
